lon,lat,name,address,pname,cityname,adname,business_area,type,typecode,id,type1,type2,type3,type4
113.54839595016144,22.19186571116394,麦当劳(澳门金融中心店),澳门维景酒店正门对面,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;快餐厅;麦当劳,050302,B0G2JSIPOD,餐饮服务,快餐厅,麦当劳,
113.55627126332296,22.195809989116484,巴黎餐厅(澳门渔人码头店),孙逸仙大马路澳门渔人码头励宫酒店地面层,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFICH07E,餐饮服务,中餐厅,中餐厅,
113.5482686230467,22.192224595967733,京澳璇宫(澳门维景酒店),北京街与上海街交叉口东北60米,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;外国餐厅;外国餐厅,050200,B0FFF310KE,餐饮服务,外国餐厅,外国餐厅,
113.5482686230467,22.192224595967733,金满轩(澳门维景酒店),北京街与上海街交叉口东北60米,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B073D0M5XZ,餐饮服务,中餐厅,中餐厅,
113.55788591341523,22.19002745780222,怡景餐厅,孙逸仙大马路澳门渔人码头莱斯酒店地面层,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B073D0M3BB,餐饮服务,中餐厅,中餐厅,
113.55670517857978,22.19546455886394,励皇轩,励宫酒店2层,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0H1M7YTKM,餐饮服务,中餐厅,中餐厅,
113.54801609188459,22.19105369006957,帝濠轩,上海街51号帝濠酒店1层,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFHKP6H5,餐饮服务,餐饮相关场所,餐饮相关,
113.54800699913027,22.192171073708526,酸辣粉(海冠中心店),上海街与北京街交叉口北40米,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B073D00BMD,餐饮服务,中餐厅,中餐厅,
113.54811528466425,22.19176813770093,六楼后座冰室,北京街129号,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;冷饮店;冷饮店,050700,B0ID7MQFY6,餐饮服务,冷饮店,冷饮店,
113.55025555839599,22.188151865199558,东来顺(光辉集团商业中心店),科英布拉街484号光辉商业中心M室铺中土大厦A1室,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;火锅店,050117,B0FFFTYEFF,餐饮服务,中餐厅,火锅店,
113.54978245250385,22.188252025360686,新好财运海鲜火锅饭店(好景轩),科英布拉街430–438号光辉苑地下及一楼E﹑F﹑G铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFG3BDFU,餐饮服务,餐饮相关场所,餐饮相关,
113.5478606629865,22.19192070141322,欢喜牛杂,上海街158号海冠中心地下W,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0JACMM8GE,餐饮服务,餐饮相关场所,餐饮相关,
113.54818157777432,22.18965350428929,翠华餐厅(星际酒店),仙德丽街338号星际酒店1楼,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFHKPOQX,餐饮服务,中餐厅,中餐厅,
113.54808233084626,22.18979436423029,风味居,澳门星际酒店5楼(皇朝),澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFHD8NH6,餐饮服务,中餐厅,中餐厅,
113.54801818043951,22.189737220059037,丹桂轩(星际酒店店),半岛(宋玉生广场皇朝)友谊大马路星际酒店2层,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B073D00AXK,餐饮服务,中餐厅,中餐厅,
113.54873796633011,22.188685217761527,凯旋门Coffee Shop,新口岸皇朝区城市日大马路278号澳门凯旋门酒店4楼,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;咖啡厅;咖啡厅,050500,B0FFFD8CK7,餐饮服务,咖啡厅,咖啡厅,
113.54752191046633,22.190887673328852,松花湖自助小火锅(怡涛阁店),上海街21G-21H号怡涛阁一楼及二楼,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFIT3X7R,餐饮服务,餐饮相关场所,餐饮相关,
113.54795204885018,22.189305936895032,passion,城市日大马路与圣德伦街交叉口北20米,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFKBD5RB,餐饮服务,餐饮相关场所,餐饮相关,
113.550799909638,22.186620307156193,澳门黄金海岸餐厅(皇朝店),孙逸仙大马路宋玉生广场皇朝孙逸仙大马路1403-1407号,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B073D00B9R,餐饮服务,中餐厅,中餐厅,
113.54691140139428,22.191259612215195,旺旺烧烤(怡珍阁店),北京街怡珍阁地下a2,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;特色/地方风味餐厅,050118,B0IDY5UYQN,餐饮服务,中餐厅,特色/地方风味餐厅,
113.55021355923132,22.186605226833937,公鸡葡国餐厅(帝景苑店),伦斯泰特大马路32-36号帝景苑AF-AG铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;外国餐厅;葡国菜,050213,B073D00FU2,餐饮服务,外国餐厅,葡国菜,
113.54903577696902,22.187026181017735,丰收台葡国餐,宋玉生广场(皇朝)柏嘉街336号雅诗阁酒店1楼,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0G1CCS7Y1,餐饮服务,餐饮相关场所,餐饮相关,
113.54669291480464,22.190495906601534,协成海鲜火锅(新口岸店),广州街72E72F怡安阁2层,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;火锅店,050117,B073D0MEE4,餐饮服务,中餐厅,火锅店,
113.54657250569304,22.192283310431407,联邦大酒楼,山边街16-28号新口岸5楼,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFFXFA85,餐饮服务,中餐厅,中餐厅,
113.55019852274923,22.186631208536998,经典意大利餐厅,半岛宋玉生广场伦斯泰特大马路40-46号帝景苑,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;外国餐厅;意式菜品餐厅,050205,B073D00FU3,餐饮服务,外国餐厅,意式菜品餐厅,
113.54906585124256,22.18697521931603,顺轩海鲜火锅酒家,宋玉生广场(皇朝)柏嘉街336-364号雅诗阁酒店1楼,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFH00PMH,餐饮服务,餐饮相关场所,餐饮相关,
113.54904880966107,22.186996194750275,御瀛日本料理,澳门雅诗阁酒店一楼,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFHAWDRQ,餐饮服务,餐饮相关场所,餐饮相关,
113.54664780780243,22.190437796494766,冯记鲍翅海鲜火锅酒家(怡安阁店),新口岸广州街38-42号怡安阁1层,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;火锅店,050117,B073D00BMA,餐饮服务,中餐厅,火锅店,
113.54730149887908,22.18894854450248,京花轩(永利澳门店),宋玉生广场(皇朝)外港填海区仙德丽街永利澳门酒店,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;综合酒楼,050101,B073D00LW8,餐饮服务,中餐厅,综合酒楼,
113.54634602363457,22.1910934337622,荣记牛杂(十月一日前地店),广州街112号,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0I2GHEB0Z,餐饮服务,餐饮相关场所,餐饮相关,
